,#롱슬리브,#긴팔티,#긴팔티셔츠,#티셔츠,#긴팔,#롱슬리브티,#긴소매,#오버핏,#여자긴팔티,#그래픽티셔츠,class
221,0,0,1,1,1,0,0,1,0,0,0
222,0,1,0,1,0,0,0,0,1,0,2
223,0,0,1,0,1,1,0,1,0,0,4
224,0,0,0,0,0,0,0,0,0,0,3
225,1,0,1,1,1,1,0,0,0,1,0
226,0,1,0,1,0,0,0,1,0,0,2
227,0,0,1,0,0,1,0,0,0,0,3
228,1,1,1,0,1,0,0,0,0,0,4
229,0,0,0,0,0,0,0,0,0,0,3
230,0,1,0,0,1,0,0,0,1,0,3
231,1,0,1,0,0,0,0,1,0,0,1
232,0,1,0,1,0,0,0,1,0,0,2
233,1,1,1,0,0,1,0,0,0,0,4
234,1,1,1,0,0,0,0,0,0,0,4
235,1,1,1,1,0,1,0,0,0,0,0
236,1,1,1,1,1,0,0,1,0,0,0
237,1,1,0,1,0,0,0,0,0,1,2
238,0,0,1,1,0,1,0,1,0,1,2
239,1,1,0,0,0,0,0,0,0,0,1
240,0,1,1,1,1,1,1,0,0,1,0
241,1,1,1,0,1,1,1,0,0,0,4
242,1,1,1,0,1,1,0,1,0,0,4
243,0,0,0,0,0,0,0,0,0,0,3
244,0,1,0,1,0,0,1,1,0,0,2
245,1,0,0,0,0,0,0,0,0,0,1
246,1,1,0,0,1,0,0,0,0,0,4
247,0,0,0,0,0,0,0,0,0,0,3
248,0,0,0,0,0,0,0,0,0,0,3
249,1,1,1,1,1,1,0,1,0,0,0
250,0,1,1,0,0,0,0,0,0,0,4
251,1,0,0,1,0,0,0,0,1,0,1
252,1,1,1,1,1,0,0,1,0,1,0
253,1,1,1,1,1,1,0,0,0,1,0
254,0,1,0,1,0,0,0,1,0,0,2
255,1,1,0,1,1,1,1,0,0,1,0
256,1,1,1,0,1,1,1,0,0,1,4
257,0,0,1,0,0,1,0,1,0,0,3
258,1,0,1,0,0,1,1,0,0,0,1
259,0,1,1,0,0,0,0,0,0,0,4
260,0,0,0,0,0,0,0,0,0,0,3
261,0,1,0,0,0,0,0,1,0,0,3
262,1,0,0,1,0,0,0,0,0,0,1
263,1,0,1,0,0,0,0,0,0,0,1
264,1,1,1,0,1,1,1,0,0,0,4
265,0,0,0,0,0,0,0,0,0,0,3
266,0,0,0,0,0,0,0,0,0,0,3
267,0,0,0,0,1,0,0,0,0,0,3
268,0,1,0,1,0,0,1,0,0,0,2
269,0,0,1,0,0,0,0,0,0,1,3
270,1,1,1,1,0,1,0,0,0,0,0
271,1,1,0,1,0,0,0,0,0,0,2
272,0,1,0,0,0,0,0,0,0,0,3
273,1,1,1,0,0,0,0,1,0,1,4
274,0,1,1,0,0,0,0,0,0,0,4
275,1,0,1,0,0,0,0,0,0,0,1
276,1,1,0,0,0,0,0,1,0,0,1
277,1,1,0,1,0,0,0,0,0,0,2
278,1,1,1,0,0,1,0,0,0,0,4
279,1,1,1,1,0,0,0,0,0,0,2
280,0,1,0,1,0,0,1,0,0,0,2
281,1,0,0,0,0,1,0,0,1,1,1
282,0,0,0,0,0,0,0,0,0,0,3
283,1,1,1,1,0,0,0,0,0,0,2
284,1,0,1,0,0,1,0,1,0,0,1
285,1,1,1,1,0,1,1,0,0,1,0
286,1,1,0,0,1,0,1,0,0,0,4
287,1,1,0,1,1,0,0,0,0,0,0
288,0,0,1,0,0,1,0,0,0,0,3
289,0,0,0,0,0,0,0,0,0,0,3
290,1,1,1,1,1,0,0,0,0,0,0
291,1,1,1,1,0,0,0,1,0,0,2
292,1,1,1,1,0,1,0,0,0,1,0
293,0,1,1,0,0,0,0,0,0,0,4
294,1,1,1,0,1,0,0,0,0,0,4
295,1,1,1,0,1,1,0,0,0,0,4
296,1,0,1,1,0,0,0,0,0,0,1
297,1,0,1,1,1,0,0,0,1,0,0
298,1,1,1,1,0,0,0,0,0,0,2
299,0,0,0,0,0,0,0,0,0,0,3
300,1,1,1,0,1,0,0,0,0,0,4
301,1,1,0,1,1,0,0,0,0,0,0
302,1,1,0,1,0,0,0,0,0,0,2
303,0,1,1,0,0,0,0,0,0,0,4
304,0,0,0,0,0,0,0,0,0,0,3
305,1,1,1,0,0,1,0,0,0,0,4
306,1,0,1,0,0,0,0,0,0,0,1
307,1,1,1,0,1,1,0,0,0,0,4
308,0,1,1,1,1,1,0,0,0,0,0
309,1,1,0,0,1,1,0,0,0,0,4
310,1,1,1,0,1,1,0,1,0,0,4
311,1,1,1,1,0,0,1,0,1,0,2
312,1,1,1,0,0,0,0,0,0,0,4
313,0,1,0,0,1,1,0,0,0,0,4
314,1,1,1,1,1,1,1,0,0,0,0
315,0,1,1,1,0,0,0,0,1,0,2
316,0,0,0,0,0,0,0,0,0,0,3
317,0,0,0,0,0,0,0,0,0,0,3
318,1,0,0,0,0,0,0,1,0,0,1
319,1,1,1,0,1,0,0,0,0,0,4
320,1,0,0,1,1,0,1,0,0,0,0
321,1,1,1,0,0,1,0,0,0,0,4
322,1,1,1,1,1,1,0,0,0,0,0
323,0,0,0,1,0,0,0,0,0,0,3
324,0,0,0,0,0,0,0,0,0,0,3
325,1,1,0,1,1,0,0,0,0,0,0
326,0,1,1,0,1,1,0,0,0,0,4
327,1,1,0,0,0,0,0,0,0,0,1
328,1,1,1,1,1,1,1,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,3
330,1,1,1,1,1,0,0,0,0,0,0
331,1,0,1,0,0,0,0,0,0,1,1
332,0,0,0,1,0,0,0,0,0,0,3
333,1,1,1,1,0,0,0,0,0,0,2
334,1,1,1,1,1,1,1,0,0,0,0
335,0,0,0,0,0,1,0,0,0,0,3
336,0,1,1,0,1,1,0,0,0,0,4
337,1,1,1,0,0,0,0,0,0,0,4
338,1,1,0,1,0,0,1,1,0,0,2
339,1,1,0,1,0,1,0,0,1,1,2
340,1,1,1,0,1,1,0,0,1,0,4
341,0,1,0,1,1,0,0,1,0,0,2
342,1,1,0,1,1,1,0,0,0,0,0
343,1,1,1,1,0,1,0,0,0,0,0
344,1,0,1,1,1,1,0,0,1,1,0
345,1,1,1,0,1,1,0,0,0,0,4
346,0,0,0,0,0,1,0,0,1,0,3
347,0,1,1,1,1,0,0,0,0,0,0
348,0,1,1,0,1,1,0,0,0,0,4
349,1,1,0,1,1,1,0,0,0,0,0
350,1,1,1,0,1,1,0,0,0,0,4
351,0,1,0,0,0,0,0,1,0,0,3
352,1,0,1,1,0,1,0,0,0,0,1
353,0,0,0,0,0,0,0,0,0,0,3
354,0,1,0,1,0,0,0,0,0,0,2
355,0,0,0,0,0,0,0,0,0,0,3
356,1,1,1,0,1,1,1,0,0,0,4
357,1,0,0,0,0,0,0,0,0,0,1
358,0,0,0,1,0,0,0,0,0,0,3
359,0,0,1,0,1,0,0,0,0,0,3
360,0,0,0,0,0,0,0,0,0,0,3
361,0,1,1,1,0,0,0,0,1,0,2
362,1,1,1,1,0,1,1,0,0,0,0
363,1,0,1,1,1,1,0,0,0,0,0
364,1,0,1,0,0,1,0,0,0,0,1
365,1,1,1,0,1,0,0,0,0,0,4
366,0,1,0,1,0,0,0,1,0,0,2
367,0,0,0,0,0,0,0,0,0,1,3
368,0,1,1,1,0,1,1,0,0,1,2
369,1,1,1,1,0,0,0,0,1,0,2
370,1,1,1,0,0,0,0,0,0,0,4
371,0,0,0,0,0,1,1,0,1,0,3
372,1,0,1,1,1,1,0,0,0,0,0
373,0,1,0,0,1,0,0,0,0,1,3
374,1,1,1,1,1,0,0,0,0,1,0
375,1,1,1,1,1,1,0,0,0,1,0
376,1,0,1,1,0,0,0,0,0,0,1
377,0,0,0,0,0,1,0,0,1,0,3
378,0,1,1,1,1,0,0,0,0,0,0
379,1,0,1,0,0,1,0,0,1,0,1
380,0,1,1,1,1,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,3
382,0,1,0,1,1,0,0,1,0,0,2
383,1,1,1,1,1,1,0,0,0,0,0
384,1,1,0,0,1,0,0,0,0,0,4
385,0,0,0,0,0,0,0,0,0,0,3
386,0,0,1,0,0,0,0,0,0,0,3
387,1,0,1,0,0,1,1,1,0,0,1
388,1,1,1,1,1,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,3
390,1,0,0,1,1,0,0,0,0,0,1
391,0,0,0,0,0,0,0,0,0,0,3
392,0,1,0,1,0,0,1,0,0,0,2
393,1,1,1,1,1,1,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0,3
395,1,1,0,0,0,0,0,0,0,0,1
396,1,1,0,1,1,0,0,0,0,0,0
397,0,0,0,0,0,0,0,1,0,0,3
398,1,1,1,0,0,1,0,1,0,0,4
399,0,0,1,0,0,0,0,0,0,0,3
400,0,0,0,0,0,0,0,0,0,0,3
401,1,1,1,1,0,0,1,0,0,0,2
402,1,1,1,1,1,1,1,0,0,0,0
403,1,1,0,1,0,1,0,0,0,1,2
404,0,0,0,0,0,0,0,0,0,0,3
405,1,0,1,1,1,1,1,0,0,0,0
406,0,1,1,0,1,0,0,0,0,0,4
407,1,1,1,0,1,1,1,0,0,0,4
408,0,0,0,0,1,0,1,0,0,0,3
409,1,0,1,1,0,0,0,0,0,0,1
410,1,1,1,1,1,1,1,0,0,0,0
411,1,1,1,0,1,1,0,0,0,0,4
412,1,1,1,1,1,1,1,0,0,0,0
413,1,0,0,0,0,0,1,1,0,0,1
414,1,1,0,1,0,0,0,1,0,0,2
415,1,1,1,1,1,1,1,0,0,0,0
416,1,0,1,0,1,1,1,0,1,1,4
417,0,1,1,0,1,0,0,0,0,0,4
418,0,0,0,0,0,0,0,0,0,0,3
419,0,0,0,0,0,0,0,0,0,0,3
420,1,0,0,1,0,0,0,0,1,0,1
421,0,0,0,0,0,0,0,0,0,0,3
422,1,1,1,1,0,1,0,0,0,0,0
423,0,0,1,1,0,1,0,1,0,0,2
424,1,1,1,0,1,1,0,0,0,0,4
425,0,0,0,0,0,0,0,0,0,0,3
426,1,1,1,0,0,1,0,0,0,0,4
427,1,1,1,1,0,0,0,1,0,0,2
428,1,1,1,1,1,0,0,0,0,0,0
429,1,1,0,0,0,0,0,1,0,0,1
430,1,0,1,1,0,1,0,1,0,1,1
431,1,1,0,1,1,1,0,0,0,0,0
432,1,1,1,0,0,1,0,0,0,1,4
433,1,1,0,1,1,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0,0,0,3
435,1,1,1,1,1,1,1,0,0,0,0
436,1,1,0,0,1,1,0,0,1,0,4
437,1,1,1,1,1,1,1,0,0,0,0
438,0,1,0,0,0,0,0,0,0,0,3
439,1,1,0,0,0,1,1,0,0,1,4
440,0,0,1,0,0,1,1,1,0,0,3
441,1,1,1,0,0,1,0,0,0,0,4
442,1,1,1,0,0,1,0,0,0,0,4
443,0,0,0,0,0,0,0,0,0,0,3
444,1,0,1,0,0,1,0,0,1,0,1
445,1,1,1,1,1,1,0,0,0,0,0
446,1,0,1,0,0,1,1,0,1,0,1
447,1,0,0,0,0,0,0,0,0,0,1
448,0,1,1,1,0,0,1,0,0,0,2
449,1,1,0,0,0,1,0,0,0,0,4
450,1,0,0,1,0,0,0,0,0,0,1
451,0,0,0,0,0,0,0,0,0,0,3
452,0,1,1,1,1,0,1,0,0,0,0
453,1,1,1,0,0,1,0,1,0,0,4
454,1,1,1,1,1,0,0,0,1,0,0
455,1,1,1,0,0,1,1,0,1,0,4
456,0,0,0,1,0,0,0,0,0,0,3
457,1,1,0,0,1,0,1,1,0,0,4
458,0,1,0,1,0,0,0,1,0,0,2
459,1,0,1,1,1,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0,0,3
461,0,0,1,1,0,1,0,1,0,1,2
462,0,0,0,0,0,0,0,0,0,0,3
463,1,1,1,0,1,1,0,0,0,0,4
464,0,1,1,0,0,1,0,0,1,0,4
465,0,1,1,0,0,1,0,0,0,0,4
466,1,0,1,0,0,0,0,0,0,0,1
467,1,1,1,1,1,0,0,0,0,0,0
468,1,1,1,0,0,1,0,0,0,0,4
469,1,1,0,1,1,0,0,0,0,0,0
470,1,1,1,1,0,0,0,0,0,0,2
471,1,1,0,1,1,1,0,0,0,0,0
472,1,1,1,1,0,1,0,0,0,0,0
473,0,0,1,0,0,0,0,0,0,0,3
474,0,0,0,0,0,0,0,0,0,0,3
475,1,0,0,1,0,0,1,0,0,0,1
476,1,0,1,0,0,0,0,0,0,0,1
477,0,1,1,1,1,1,0,0,0,0,0
478,1,1,1,1,1,1,0,0,0,0,0
479,1,1,0,1,1,1,0,0,0,0,0
480,1,1,0,1,0,0,0,0,0,0,2
481,1,1,1,0,0,1,0,0,0,0,4
482,1,1,1,0,1,1,1,0,0,1,4
483,1,1,0,1,1,1,1,0,0,0,0
484,1,1,1,0,1,0,0,0,0,0,4
485,0,1,0,0,0,0,0,0,0,0,3
486,0,0,0,0,0,1,0,0,0,0,3
487,1,1,0,1,0,0,0,0,0,0,2
488,1,1,1,0,0,0,0,0,1,1,4
489,1,1,1,0,1,1,1,0,0,0,4
490,1,1,1,0,0,1,0,0,0,0,4
491,1,1,1,1,1,1,1,0,0,0,0
492,1,0,0,1,1,1,0,0,0,0,0
493,0,0,0,1,0,0,0,0,0,0,3
494,1,1,1,0,0,1,1,0,0,0,4
495,1,1,1,1,0,0,0,1,0,0,2
496,0,0,0,0,0,0,0,0,0,0,3
497,1,1,1,1,1,0,0,0,0,0,0
498,0,0,0,0,0,0,0,0,0,0,3
499,0,1,1,0,1,0,0,0,0,0,4
